timestamp_s,id,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,xE_m,yE_m,zE_m,rollE_deg,pitchE_deg,yawE_deg
1761141739.496189,0,0.031719,-0.012209,1.152956,4.477,-0.346,-87.173,0.031719,-0.012209,1.152956,4.477,-0.346,-87.173
1761141739.567625,0,0.031735,-0.012177,1.155362,4.299,-0.642,-87.186,0.031735,-0.012177,1.155362,4.299,-0.642,-87.186
1761141739.637047,0,0.031706,-0.012199,1.148098,4.284,-0.792,-87.189,0.031706,-0.012199,1.148098,4.284,-0.792,-87.189
1761141739.712041,0,0.031752,-0.012178,1.145924,4.231,-0.883,-87.194,0.031752,-0.012178,1.145924,4.231,-0.883,-87.194
1761141739.781956,0,0.031815,-0.012098,1.144365,4.210,-0.705,-87.174,0.031815,-0.012098,1.144365,4.210,-0.705,-87.174
1761141739.840373,0,0.031711,-0.012210,1.147868,4.260,-0.630,-87.178,0.031711,-0.012210,1.147868,4.260,-0.630,-87.178
1761141739.927433,0,0.031705,-0.012235,1.147874,4.220,-0.766,-87.182,0.031705,-0.012235,1.147874,4.220,-0.766,-87.182
1761141740.011112,0,0.031713,-0.012210,1.147740,4.319,-0.712,-87.179,0.031713,-0.012210,1.147740,4.319,-0.712,-87.179
1761141740.107839,0,0.031721,-0.012210,1.147806,4.182,-0.702,-87.179,0.031721,-0.012210,1.147806,4.182,-0.702,-87.179
1761141740.201220,0,0.031710,-0.012213,1.147667,4.345,-0.723,-87.174,0.031710,-0.012213,1.147667,4.345,-0.723,-87.174
1761141740.296192,0,0.031728,-0.012207,1.147612,4.188,-0.675,-87.176,0.031728,-0.012207,1.147612,4.188,-0.675,-87.176
1761141740.385357,0,0.031712,-0.012234,1.147639,4.344,-0.793,-87.186,0.031712,-0.012234,1.147639,4.344,-0.793,-87.186
1761141740.478108,0,0.031732,-0.012229,1.147420,4.409,-0.789,-87.175,0.031732,-0.012229,1.147420,4.409,-0.789,-87.175
1761141740.566091,0,0.031716,-0.012201,1.147529,4.297,-0.703,-87.178,0.031716,-0.012201,1.147529,4.297,-0.703,-87.178
1761141740.652946,0,0.031740,-0.012191,1.147509,4.345,-0.681,-87.178,0.031740,-0.012191,1.147509,4.345,-0.681,-87.178
1761141740.747709,0,0.031748,-0.012198,1.147653,4.327,-0.711,-87.179,0.031748,-0.012198,1.147653,4.327,-0.711,-87.179
1761141740.837704,0,0.031777,-0.012209,1.147561,4.301,-0.720,-87.186,0.031777,-0.012209,1.147561,4.301,-0.720,-87.186
1761141740.923831,0,0.031777,-0.012194,1.147613,4.319,-0.678,-87.175,0.031777,-0.012194,1.147613,4.319,-0.678,-87.175
1761141740.995213,0,0.031795,-0.012229,1.147537,4.402,-0.804,-87.184,0.031795,-0.012229,1.147537,4.402,-0.804,-87.184
1761141741.072350,0,0.031790,-0.012196,1.147619,4.366,-0.689,-87.172,0.031790,-0.012196,1.147619,4.366,-0.689,-87.172
1761141741.161768,0,0.031780,-0.012190,1.147647,4.265,-0.689,-87.179,0.031780,-0.012190,1.147647,4.265,-0.689,-87.179
1761141741.251922,0,0.031830,-0.012184,1.147525,4.391,-0.644,-87.171,0.031830,-0.012184,1.147525,4.391,-0.644,-87.171
1761141741.338806,0,0.031819,-0.012194,1.147633,4.360,-0.681,-87.182,0.031819,-0.012194,1.147633,4.360,-0.681,-87.182
1761141741.421882,0,0.031827,-0.012201,1.147624,4.388,-0.738,-87.180,0.031827,-0.012201,1.147624,4.388,-0.738,-87.180
1761141741.509810,0,0.031855,-0.012201,1.147442,4.538,-0.774,-87.182,0.031855,-0.012201,1.147442,4.538,-0.774,-87.182
1761141741.594156,0,0.031847,-0.012203,1.147517,4.419,-0.699,-87.175,0.031847,-0.012203,1.147517,4.419,-0.699,-87.175
1761141741.684362,0,0.031848,-0.012205,1.147651,4.323,-0.726,-87.183,0.031848,-0.012205,1.147651,4.323,-0.726,-87.183
1761141741.767225,0,0.031883,-0.012203,1.147342,4.539,-0.790,-87.186,0.031883,-0.012203,1.147342,4.539,-0.790,-87.186
1761141741.839418,0,0.031887,-0.012192,1.147516,4.468,-0.640,-87.174,0.031887,-0.012192,1.147516,4.468,-0.640,-87.174
1761141741.908938,0,0.031896,-0.012204,1.147422,4.525,-0.741,-87.180,0.031896,-0.012204,1.147422,4.525,-0.741,-87.180
1761141741.983348,0,0.031886,-0.012189,1.147639,4.395,-0.638,-87.171,0.031886,-0.012189,1.147639,4.395,-0.638,-87.171
1761141742.051675,0,0.031910,-0.012191,1.147346,4.494,-0.697,-87.181,0.031910,-0.012191,1.147346,4.494,-0.697,-87.181
1761141742.109002,0,0.031889,-0.012172,1.147493,4.459,-0.599,-87.173,0.031889,-0.012172,1.147493,4.459,-0.599,-87.173
1761141742.168813,0,0.031895,-0.012183,1.147361,4.555,-0.703,-87.174,0.031895,-0.012183,1.147361,4.555,-0.703,-87.174
1761141742.231432,0,0.031902,-0.012178,1.147329,4.509,-0.683,-87.176,0.031902,-0.012178,1.147329,4.509,-0.683,-87.176
1761141742.292463,0,0.031903,-0.012191,1.147288,4.499,-0.729,-87.178,0.031903,-0.012191,1.147288,4.499,-0.729,-87.178
1761141742.356604,0,0.031894,-0.012184,1.147336,4.507,-0.639,-87.168,0.031894,-0.012184,1.147336,4.507,-0.639,-87.168
1761141742.422405,0,0.031955,-0.012176,1.147144,4.589,-0.678,-87.177,0.031955,-0.012176,1.147144,4.589,-0.678,-87.177
1761141742.506102,0,0.031936,-0.012174,1.147181,4.569,-0.648,-87.177,0.031936,-0.012174,1.147181,4.569,-0.648,-87.177
1761141742.576143,0,0.031932,-0.012192,1.147258,4.532,-0.667,-87.178,0.031932,-0.012192,1.147258,4.532,-0.667,-87.178
1761141742.650089,0,0.031946,-0.012196,1.147125,4.599,-0.743,-87.183,0.031946,-0.012196,1.147125,4.599,-0.743,-87.183
1761141742.728643,0,0.031932,-0.012190,1.147104,4.587,-0.739,-87.183,0.031932,-0.012190,1.147104,4.587,-0.739,-87.183
1761141742.825356,0,0.031940,-0.012192,1.147124,4.646,-0.672,-87.180,0.031940,-0.012192,1.147124,4.646,-0.672,-87.180
1761141742.899513,0,0.031951,-0.012197,1.146225,4.358,-0.637,-87.173,0.031951,-0.012197,1.146225,4.358,-0.637,-87.173
1761141742.974003,0,0.031982,-0.012209,1.152356,4.718,-0.381,-87.172,0.031982,-0.012209,1.152356,4.718,-0.381,-87.172
1761141743.080704,0,0.032034,-0.012128,1.144385,4.481,-0.584,-87.162,0.032034,-0.012128,1.144385,4.481,-0.584,-87.162
1761141743.153350,0,0.031939,-0.012198,1.149650,4.520,-0.542,-87.172,0.031939,-0.012198,1.149650,4.520,-0.542,-87.172
1761141743.225982,0,0.031954,-0.012206,1.149633,4.584,-0.570,-87.176,0.031954,-0.012206,1.149633,4.584,-0.570,-87.176
1761141743.293397,0,0.031946,-0.012191,1.149607,4.528,-0.509,-87.178,0.031946,-0.012191,1.149607,4.528,-0.509,-87.178
1761141743.370667,0,0.031931,-0.012205,1.149779,4.474,-0.573,-87.169,0.031931,-0.012205,1.149779,4.474,-0.573,-87.169
1761141743.458076,0,0.031960,-0.012195,1.149656,4.515,-0.578,-87.170,0.031960,-0.012195,1.149656,4.515,-0.578,-87.170
1761141743.542017,0,0.031973,-0.012205,1.149601,4.588,-0.584,-87.174,0.031973,-0.012205,1.149601,4.588,-0.584,-87.174
1761141743.627811,0,0.031957,-0.012201,1.149725,4.494,-0.571,-87.170,0.031957,-0.012201,1.149725,4.494,-0.571,-87.170
1761141743.717016,0,0.031962,-0.012208,1.149717,4.568,-0.556,-87.179,0.031962,-0.012208,1.149717,4.568,-0.556,-87.179
1761141743.782252,0,0.031952,-0.012210,1.149604,4.423,-0.675,-87.175,0.031952,-0.012210,1.149604,4.423,-0.675,-87.175
1761141743.855230,0,0.031961,-0.012198,1.149717,4.519,-0.550,-87.169,0.031961,-0.012198,1.149717,4.519,-0.550,-87.169
1761141743.922821,0,0.031999,-0.012189,1.149486,4.650,-0.508,-87.168,0.031999,-0.012189,1.149486,4.650,-0.508,-87.168
1761141743.991472,0,0.031987,-0.012199,1.149492,4.550,-0.640,-87.175,0.031987,-0.012199,1.149492,4.550,-0.640,-87.175
1761141744.062393,0,0.031999,-0.012184,1.149549,4.562,-0.521,-87.163,0.031999,-0.012184,1.149549,4.562,-0.521,-87.163
1761141744.131054,0,0.031988,-0.012201,1.149581,4.540,-0.656,-87.176,0.031988,-0.012201,1.149581,4.540,-0.656,-87.176
1761141744.341730,0,0.031991,-0.012185,1.149696,4.508,-0.523,-87.160,0.031991,-0.012185,1.149696,4.508,-0.523,-87.160
1761141744.431829,0,0.032005,-0.012192,1.149512,4.605,-0.549,-87.173,0.032005,-0.012192,1.149512,4.605,-0.549,-87.173
1761141744.515490,0,0.031997,-0.012183,1.149638,4.534,-0.502,-87.171,0.031997,-0.012183,1.149638,4.534,-0.502,-87.171
1761141744.589996,0,0.032018,-0.012190,1.149551,4.581,-0.607,-87.167,0.032018,-0.012190,1.149551,4.581,-0.607,-87.167
1761141744.661599,0,0.032014,-0.012191,1.149592,4.518,-0.608,-87.173,0.032014,-0.012191,1.149592,4.518,-0.608,-87.173
1761141744.731843,0,0.032025,-0.012187,1.149520,4.597,-0.571,-87.174,0.032025,-0.012187,1.149520,4.597,-0.571,-87.174
1761141744.794040,0,0.032017,-0.012196,1.149526,4.505,-0.631,-87.167,0.032017,-0.012196,1.149526,4.505,-0.631,-87.167
1761141744.859114,0,0.032019,-0.012189,1.149625,4.517,-0.589,-87.168,0.032019,-0.012189,1.149625,4.517,-0.589,-87.168
1761141744.928646,0,0.032043,-0.012199,1.149488,4.620,-0.619,-87.173,0.032043,-0.012199,1.149488,4.620,-0.619,-87.173
1761141745.005218,0,0.032013,-0.012184,1.149585,4.472,-0.576,-87.168,0.032013,-0.012184,1.149585,4.472,-0.576,-87.168
1761141745.082972,0,0.032025,-0.012196,1.149507,4.619,-0.637,-87.166,0.032025,-0.012196,1.149507,4.619,-0.637,-87.166
1761141745.171302,0,0.032022,-0.012173,1.149515,4.542,-0.496,-87.161,0.032022,-0.012173,1.149515,4.542,-0.496,-87.161
1761141745.243882,0,0.032062,-0.012173,1.149528,4.633,-0.544,-87.163,0.032062,-0.012173,1.149528,4.633,-0.544,-87.163
1761141745.318188,0,0.032060,-0.012186,1.149485,4.657,-0.586,-87.165,0.032060,-0.012186,1.149485,4.657,-0.586,-87.165
1761141745.503129,0,0.032067,-0.012178,1.149414,4.648,-0.580,-87.170,0.032067,-0.012178,1.149414,4.648,-0.580,-87.170
1761141745.579400,0,0.032063,-0.012182,1.149447,4.630,-0.571,-87.164,0.032063,-0.012182,1.149447,4.630,-0.571,-87.164
1761141745.655116,0,0.032058,-0.012193,1.149449,4.606,-0.673,-87.166,0.032058,-0.012193,1.149449,4.606,-0.673,-87.166
1761141745.733440,0,0.032073,-0.012194,1.149389,4.672,-0.632,-87.174,0.032073,-0.012194,1.149389,4.672,-0.632,-87.174
1761141745.810150,0,0.032078,-0.012169,1.149465,4.632,-0.534,-87.169,0.032078,-0.012169,1.149465,4.632,-0.534,-87.169
1761141745.871107,0,0.032065,-0.012197,1.149474,4.587,-0.655,-87.175,0.032065,-0.012197,1.149474,4.587,-0.655,-87.175
1761141745.935923,0,0.032079,-0.012199,1.149349,4.637,-0.638,-87.171,0.032079,-0.012199,1.149349,4.637,-0.638,-87.171
1761141746.005931,0,0.032066,-0.012191,1.149382,4.613,-0.592,-87.169,0.032066,-0.012191,1.149382,4.613,-0.592,-87.169
1761141746.072372,0,0.032101,-0.012170,1.149358,4.694,-0.509,-87.163,0.032101,-0.012170,1.149358,4.694,-0.509,-87.163
1761141746.134718,0,0.032090,-0.012190,1.149372,4.662,-0.662,-87.178,0.032090,-0.012190,1.149372,4.662,-0.662,-87.178
1761141746.210975,0,0.032093,-0.012182,1.149291,4.687,-0.590,-87.171,0.032093,-0.012182,1.149291,4.687,-0.590,-87.171
1761141746.288248,0,0.032101,-0.012174,1.149295,4.771,-0.558,-87.169,0.032101,-0.012174,1.149295,4.771,-0.558,-87.169
1761141746.365906,0,0.032103,-0.012178,1.149259,4.725,-0.586,-87.172,0.032103,-0.012178,1.149259,4.725,-0.586,-87.172
1761141746.442713,0,0.032106,-0.012186,1.149251,4.701,-0.665,-87.168,0.032106,-0.012186,1.149251,4.701,-0.665,-87.168
1761141746.512080,0,0.032104,-0.012179,1.149300,4.703,-0.641,-87.170,0.032104,-0.012179,1.149300,4.703,-0.641,-87.170
1761141746.585955,0,0.032103,-0.012179,1.149348,4.664,-0.599,-87.168,0.032103,-0.012179,1.149348,4.664,-0.599,-87.168
1761141746.667315,0,0.032102,-0.012172,1.149336,4.655,-0.611,-87.173,0.032102,-0.012172,1.149336,4.655,-0.611,-87.173
1761141746.745354,0,0.032106,-0.012189,1.149208,4.722,-0.693,-87.172,0.032106,-0.012189,1.149208,4.722,-0.693,-87.172
1761141746.819993,0,0.032124,-0.012179,1.149346,4.702,-0.647,-87.171,0.032124,-0.012179,1.149346,4.702,-0.647,-87.171
1761141746.908540,0,0.032100,-0.012204,1.149356,4.630,-0.724,-87.175,0.032100,-0.012204,1.149356,4.630,-0.724,-87.175
1761141747.003951,0,0.032149,-0.012173,1.149214,4.757,-0.635,-87.174,0.032149,-0.012173,1.149214,4.757,-0.635,-87.174
1761141747.086556,0,0.032131,-0.012152,1.149208,4.764,-0.464,-87.156,0.032131,-0.012152,1.149208,4.764,-0.464,-87.156
1761141747.181821,0,0.032154,-0.012170,1.149158,4.697,-0.603,-87.168,0.032154,-0.012170,1.149158,4.697,-0.603,-87.168
1761141747.269851,0,0.032142,-0.012182,1.149126,4.793,-0.639,-87.168,0.032142,-0.012182,1.149126,4.793,-0.639,-87.168
1761141747.351469,0,0.032156,-0.012156,1.149176,4.751,-0.507,-87.166,0.032156,-0.012156,1.149176,4.751,-0.507,-87.166
1761141747.430629,0,0.032144,-0.012180,1.149210,4.742,-0.659,-87.169,0.032144,-0.012180,1.149210,4.742,-0.659,-87.169
1761141747.509301,0,0.032144,-0.012178,1.149176,4.791,-0.628,-87.163,0.032144,-0.012178,1.149176,4.791,-0.628,-87.163
1761141747.605044,0,0.032151,-0.012170,1.149194,4.794,-0.588,-87.166,0.032151,-0.012170,1.149194,4.794,-0.588,-87.166
1761141747.673594,0,0.032151,-0.012186,1.149067,4.747,-0.695,-87.165,0.032151,-0.012186,1.149067,4.747,-0.695,-87.165
1761141747.747654,0,0.032149,-0.012172,1.149064,4.788,-0.589,-87.168,0.032149,-0.012172,1.149064,4.788,-0.589,-87.168
1761141747.817218,0,0.032122,-0.012183,1.148993,4.753,-0.655,-87.174,0.032122,-0.012183,1.148993,4.753,-0.655,-87.174
1761141747.908638,0,0.032141,-0.012176,1.148817,4.881,-0.569,-87.171,0.032141,-0.012176,1.148817,4.881,-0.569,-87.171
1761141747.992370,0,0.032118,-0.012178,1.149025,4.694,-0.549,-87.167,0.032118,-0.012178,1.149025,4.694,-0.549,-87.167
1761141748.068001,0,0.032126,-0.012182,1.148867,4.834,-0.595,-87.167,0.032126,-0.012182,1.148867,4.834,-0.595,-87.167
1761141748.143245,0,0.032115,-0.012203,1.148938,4.737,-0.669,-87.176,0.032115,-0.012203,1.148938,4.737,-0.669,-87.176
1761141748.219464,0,0.032142,-0.012184,1.148767,4.788,-0.562,-87.162,0.032142,-0.012184,1.148767,4.788,-0.562,-87.162
1761141748.308542,0,0.032145,-0.012183,1.148838,4.779,-0.594,-87.165,0.032145,-0.012183,1.148838,4.779,-0.594,-87.165
