3237.05, 255
3254.77, 255
3271.75, 255
3289.48, 255
3306.09, 255
3323.82, 255
3340.80, 255
3358.52, 255
3375.14, 255
3392.86, 255
3409.85, 255
3427.57, 255
3444.18, 255
3461.91, 255
3478.89, 255
3496.62, 255
3513.23, 255
3530.95, 255
3548.68, 255
3565.66, 255
3583.38, 255
3600.00, 255
3618.09, 255
3634.71, 255
3652.43, 255
3669.42, 255
3686.77, 255
3703.75, 255
3721.48, 255
3738.46, 255
3756.18, 255
3772.80, 255
3790.52, 255
3808.25, 255
3825.23, 255
3842.95, 255
3859.57, 255
3877.29, 255
3894.28, 255
3911.63, 255
3928.62, 255
3946.34, 255
3963.32, 255
3981.05, 255
3997.66, 255
4015.38, 255
4032.00, 255
4050.09, 255
4066.71, 255
4084.43, 255
4102.15, 255
4118.77, 255
4136.49, 255
4153.48, 255
4171.20, 255
4188.18, 255
4205.54, 255
4222.52, 255
4240.25, 255
4257.23, 255
4274.95, 255
4291.57, 255
4309.29, 255
4326.28, 255
4343.63, 255
4361.35, 255
4378.34, 255
4396.06, 255
4412.68, 255
4430.40, 255
4447.38, 255
4465.11, 255
4481.72, 255
4499.45, 255
4516.43, 255
4534.15, 255
4550.77, 255
4568.49, 255
4585.48, 255
4603.20, 255
4620.18, 255
4637.54, 255
4655.26, 255
4672.25, 255
4689.97, 255
4706.95, 255
4724.31, 255
4741.29, 255
4759.02, 255
4775.63, 255
4793.72, 255
4810.34, 255
4828.06, 255
4845.05, 255
4862.40, 255
4879.38, 255
4897.11, 255
4914.83, 255
4931.82, 255
4949.17, 255
4966.15, 255
4983.88, 255
5000.49, 255
5018.58, 255
5035.20, 255
5052.92, 255
5069.54, 255
5087.26, 255
5104.25, 255
5121.97, 255
5138.95, 255
5156.31, 255
5173.29, 255
5191.02, 255
5208.74, 255
5225.72, 255
5243.08, 255
5260.06, 255
5277.78, 255
5294.40, 255
5312.49, 255
5329.11, 255
5346.83, 255
5363.82, 255
5381.17, 255
5398.15, 255
5415.88, 255
5432.86, 255
5450.58, 255
5467.94, 255
5484.92, 255
5502.65, 255
5519.63, 255
5537.35, 255
5553.97, 255
5571.69, 255
5588.68, 255
5606.40, 255
5623.02, 255
5640.74, 255
5657.72, 255
5675.45, 255
5692.06, 255
5709.78, 255
5726.77, 255
5744.49, 255
5762.22, 255
5778.83, 255
5796.55, 255
5813.54, 255
5831.26, 255
5848.25, 255
5865.60, 255
5882.58, 255
5900.31, 255
5917.29, 255
5935.02, 255
5951.63, 255
5969.35, 255
5986.34, 255
6004.06, 255
6021.78, 255
6038.40, 255
6056.12, 255
6073.11, 255
6090.83, 255
6107.45, 255
6125.17, 255
6142.15, 255
6159.88, 255
6176.86, 255
6194.58, 255
6211.20, 255
6228.92, 255
6245.91, 255
6263.63, 255
6280.25, 255
6297.97, 255
6315.69, 255
6332.68, 255
6350.40, 255
6367.02, 255
6384.74, 255
6401.72, 255
6419.45, 255
6436.06, 255
6453.78, 255
6470.77, 255
6488.49, 255
6505.48, 255
6522.83, 255
6539.81, 255
6557.54, 255
6575.26, 255
6592.25, 255
6609.60, 255
6626.58, 255
6644.31, 255
6661.29, 255
6679.02, 255
6695.63, 255
6713.35, 255
6730.34, 255
6748.06, 255
6764.68, 255
6782.40, 255
6799.38, 255
6817.11, 255
6833.72, 255
6851.45, 255
6869.17, 255
6886.15, 255
6903.88, 255
6920.49, 255
6938.58, 255
6955.20, 255
6972.92, 255
6989.54, 255
7007.26, 255
7024.25, 255
7041.97, 255
7058.95, 255
7076.68, 255
7093.29, 255
7111.02, 255
7128.74, 255
7145.72, 255
7163.45, 255
7180.06, 255
7197.78, 255
7214.40, 255
7232.49, 255
7249.11, 255
7266.83, 255
7283.82, 255
7301.17, 255
7318.15, 255
7335.88, 255
7352.49, 255
